"not a fan of the",9,"not a fan of","the"
"not the least of which",9,"not the least of","which"
"of the united states and",9,"of the united states","and"
"of what it means to",9,"of what it means","to"
"on the back of a",9,"on the back of","a"
"on the other hand the",9,"on the other hand","the"
"one of the best things",9,"one of the best","things"
"one of the first things",9,"one of the first","things"
"other parts of the world",9,"other parts of the","world"
"over and over and over",9,"over and over and","over"
"over the next couple of",9,"over the next couple","of"
"over the past couple of",9,"over the past couple","of"
"over the past few weeks",9,"over the past few","weeks"
"said in a phone interview",9,"said in a phone","interview"
"said in a statement the",9,"said in a statement","the"
"said in a written statement",9,"said in a written","statement"
"sc in sc dec sc",9,"sc in sc dec","sc"
"so i am going to",9,"so i am going","to"
"so i decided to make",9,"so i decided to","make"
"something along the lines of",9,"something along the lines","of"
"tell you how many times",9,"tell you how many","times"
"thank you to everyone who",9,"thank you to everyone","who"
"that i have accepted and",9,"that i have accepted","and"
"that i was going to",9,"that i was going","to"
"that is one of the",9,"that is one of","the"
"the back of my mind",9,"the back of my","mind"
"the beginning of the year",9,"the beginning of the","year"
"the centers for control and",9,"the centers for control","and"
"the first time in years",9,"the first time in","years"
"the front of the house",9,"the front of the","house"
"the last couple of years",9,"the last couple of","years"
"the other day i was",9,"the other day i","was"
"the president of the united",9,"the president of the","united"
"the rest of his life",9,"the rest of his","life"
"the second round of the",9,"the second round of","the"
"the truth of the matter",9,"the truth of the","matter"
"there are times when i",9,"there are times when","i"
"there is a way to",9,"there is a way","to"
"these are some of the",9,"these are some of","the"
"those of you who dont",9,"those of you who","dont"
"to be a lot of",9,"to be a lot","of"
"to get out of my",9,"to get out of","my"
"to give it a try",9,"to give it a","try"
"to make it to the",9,"to make it to","the"
"to stun the for seconds",9,"to stun the for","seconds"
"to the other side of",9,"to the other side","of"
"trying to figure out how",9,"trying to figure out","how"
"trying to figure out what",9,"trying to figure out","what"
"turned out to be the",9,"turned out to be","the"
"up to years in prison",9,"up to years in","prison"
"was only a matter of",9,"was only a matter","of"
"which turned out to be",9,"which turned out to","be"
"will be interesting to see",9,"will be interesting to","see"
"with a little bit of",9,"with a little bit","of"
"with a little help from",9,"with a little help","from"
"would be a good idea",9,"would be a good","idea"
"you can see in the",9,"you can see in","the"
"you know what i mean",9,"you know what i","mean"
"you need to do is",9,"you need to do","is"
"a book by its cover",8,"a book by its","cover"
"a chance to win a",8,"a chance to win","a"
"a few days ago i",8,"a few days ago","i"
"a few months ago i",8,"a few months ago","i"
"all i had to do",8,"all i had to","do"
"am really looking forward to",8,"am really looking forward","to"
"and before i knew it",8,"and before i knew","it"
"and i am going to",8,"and i am going","to"
"and i have no idea",8,"and i have no","idea"
"and i look forward to",8,"and i look forward","to"
"and i want to be",8,"and i want to","be"
"and i was able to",8,"and i was able","to"
"and i went to the",8,"and i went to","the"
"and in the case of",8,"and in the case","of"
"and last but not least",8,"and last but not","least"
"and open to the public",8,"and open to the","public"
"and the fact that the",8,"and the fact that","the"
"and you dont have to",8,"and you dont have","to"
"april in the block of",8,"april in the block","of"
"are a lot of people",8,"are a lot of","people"
"as a member of the",8,"as a member of","the"
"as long as i can",8,"as long as i","can"
"as luck would have it",8,"as luck would have","it"
"as one of the most",8,"as one of the","most"
"at least a couple of",8,"at least a couple","of"
"at the center of the",8,"at the center of","the"
"at the end of each",8,"at the end of","each"
"at the same time in",8,"at the same time","in"
"at the side of the",8,"at the side of","the"
"at the top of my",8,"at the top of","my"
"at the university of michigan",8,"at the university of","michigan"
"be a good idea to",8,"be a good idea","to"
"be able to do that",8,"be able to do","that"
"been a bit of a",8,"been a bit of","a"
"been a long time since",8,"been a long time","since"
"between the ages of and",8,"between the ages of","and"
"but i dont know if",8,"but i dont know","if"
"but i think it is",8,"but i think it","is"
"but i would like to",8,"but i would like","to"
"but it is not the",8,"but it is not","the"
"came up with the idea",8,"came up with the","idea"
"contributed to this report the",8,"contributed to this report","the"
"could go on and on",8,"could go on and","on"
"dec sc in sc dec",8,"dec sc in sc","dec"
"decided it was time to",8,"decided it was time","to"
"didnt know what to do",8,"didnt know what to","do"
"director of the center for",8,"director of the center","for"
"do with the fact that",8,"do with the fact","that"
"dont have a lot of",8,"dont have a lot","of"
"end of the day i",8,"end of the day","i"
"especially when it comes to",8,"especially when it comes","to"
"faces up to years in",8,"faces up to years","in"
"for a lot of people",8,"for a lot of","people"
"for as long as i",8,"for as long as","i"
"for at least an hour",8,"for at least an","hour"
"for minutes or until the",8,"for minutes or until","the"
"for the faint of heart",8,"for the faint of","heart"
"for the first half of",8,"for the first half","of"
"for the first time i",8,"for the first time","i"
"for the first time that",8,"for the first time","that"
"for the last several years",8,"for the last several","years"
"forgive myself that i have",8,"forgive myself that i","have"
"free and open to the",8,"free and open to","the"
"from the point of view",8,"from the point of","view"
"from time to time but",8,"from time to time","but"
"from time to time i",8,"from time to time","i"
"going on in my life",8,"going on in my","life"
"going to be a lot",8,"going to be a","lot"
"had anything to do with",8,"had anything to do","with"
"has been a while since",8,"has been a while","since"
"has pleaded not guilty to",8,"has pleaded not guilty","to"
"has something to do with",8,"has something to do","with"
"have a lot of time",8,"have a lot of","time"
"have anything to do with",8,"have anything to do","with"
"have to say that i",8,"have to say that","i"
"here are just a few",8,"here are just a","few"
"how do you feel about",8,"how do you feel","about"
"i am going to try",8,"i am going to","try"
"i am not sure what",8,"i am not sure","what"
"i am really looking forward",8,"i am really looking","forward"
"i didnt know what to",8,"i didnt know what","to"
"i dont know how i",8,"i dont know how","i"
"i dont know if its",8,"i dont know if","its"
"i dont know if you",8,"i dont know if","you"
"i dont know what it",8,"i dont know what","it"
"i dont know why but",8,"i dont know why","but"
"i dont think ive ever",8,"i dont think ive","ever"
"i have no idea if",8,"i have no idea","if"
"i just dont have the",8,"i just dont have","the"
"i just wanted to say",8,"i just wanted to","say"
"i might be able to",8,"i might be able","to"
"i want to go back",8,"i want to go","back"
"i was going to do",8,"i was going to","do"
"i was going to have",8,"i was going to","have"
"i was so excited to",8,"i was so excited","to"
"i was talking to my",8,"i was talking to","my"
"i would love to see",8,"i would love to","see"
"if you do not have",8,"if you do not","have"
"if you really want to",8,"if you really want","to"
"im a big fan of",8,"im a big fan","of"
